Index,Tag,Atag,Btag,pIC50_MMP12,smiles,A_SortMax,B_SortMax,Final QC Purity,Generation-No,AB-MPS Score,ALogP,Acid pKa 1,Acid pKa 2,Acid pKa 3,Asphericity (3D),Basic pKa 1,Basic pKa 2,Basic pKa 3,Cumulative Charge (7.4),Eccentricity (3D),Formal Charge,Fraction Aromatic,Fraction Csp3,Fraction NO Atoms,Fraction PSA,Fraction Planar,Fractional PolarSASA,Fractional PolarSurfaceArea,Hydrophilic Volume,Hydrophobic Volume,Hydrophobic surface,InertialShapeFactor (3D),Ionization Category (7.4),Ionized Formal Charge,Ionized Number of Negative Atoms,Ionized Number of Positive Atoms,Ionized SMILES,KOWlogP,MPO Score,MPO.PET Score,MPO.v2 Score,Molecular Weight,NPR1 (3D),NPR2 (3D),Neutral SMILES,Number of Acceptor Lone Pairs,Number of Aromatic Atoms,Number of AromaticBonds,Number of AromaticRings,Number of Bonds,Number of C Atoms,Number of Csp3 Atoms,Number of Donor Hydrogens,Number of HAcceptors,Number of HDonors,Number of Heavy Atoms,Number of Heteroatoms,Number of NO Atoms,Number of NonAromaticRings,Number of Planar Ring Atoms,Number of Ring Assemblies,Number of Rings,Number of RotatableBonds,Number of Stereocenters,Ovality,PAMPA Category,PAMPA Comments,PAMPA Predicted value,PBF (3D),PHOSPHOLIPIDOSIS Amphiphilic vector,PHOSPHOLIPIDOSIS Predicted InVitro,PHOSPHOLIPIDOSIS Predicted InVivo,PSA,PolarSASA,PolarSASA (3D),PolarSurfaceArea,Quantitative Estimate of Drug-Likeness (QED),Radius of Gyration,RadiusOfGyration (3D),Rotational Volume,SASA,SASA (3D),SpherocityIndex (3D),SurfaceArea,Total Charge (7.4),Total Surface,Total Volume,Volume (3D),"mlCYP1A2 (HLM,3c)","mlCYP1A2 (HLM,3c) Gdns","mlCYP2C19 (HLM,3c)","mlCYP2C19 (HLM,3c) Gdns","mlCYP2C9 (HLM,3c)","mlCYP2C9 (HLM,3c) Gdns","mlCYP2D6 (HLM,3c)","mlCYP2D6 (HLM,3c) Gdns","mlCYP3A4 (HLM,3c)","mlCYP3A4 (HLM,3c) Gdns","mlClearance (HEP,h3c)","mlClearance (HEP,h3c) Gdns","mlClearance (HEP,m3c)","mlClearance (HEP,m3c) Gdns","mlClearance (MIC,h3c)","mlClearance (MIC,h3c) Gdns","mlClearance (MIC,m3c)","mlClearance (MIC,m3c) Gdns",mlCytotox (HEK293),mlCytotox (HEK293) Uncert,mlGSH (2c),mlGSH (2c) Gdns,mlHERG (2c),mlHERG (2c) Gdns,mlHERG (3c),mlHERG (3c) Gdns,mlLogD,mlLogD Gdns,mlMNT (2c),mlMNT (2c) Gdns,mlPAMPA (2c),mlPAMPA (2c) Gdns,"mlPGP (APER,mouse)","mlPGP (APER,mouse) Gdns",mlPGP (Papp AB),mlPGP (Papp AB) Gdns,mlPGP (h2c),mlPGP (h2c) Gdns,mlPGP (h4c),mlPGP (h4c) Gdns,mlPGP (m2c),mlPGP (m2c) Gdns,mlPGP (m4c),mlPGP (m4c) Gdns,mlPL (2c),mlPL (2c) Gdns,mlPPB (h3c),mlPPB (h3c) Gdns,mlPPB (human),mlPPB (human) Gdns,mlPPB (m3c),mlPPB (m3c) Gdns,mlPPB (mouse),mlPPB (mouse) Gdns,mlPPB (rat),mlPPB (rat) Gdns,mlPS (h3c),mlPS (h3c) Gdns,mlPS (m3c),mlPS (m3c) Gdns,"mlPapp (PGP,3c)","mlPapp (PGP,3c) Gdns","mlPapp (PGP,m3c)","mlPapp (PGP,m3c) Gdns",mlPhototox (2c),mlPhototox (2c) Gdns,mlSolubility (3c),mlSolubility (3c) Gdns,
228,A05B28,A05,B28,4.1,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(Cl)c2Cl)C(=O)O,6,45,92,,12.53,4.23,3.87,,,0.68,,,,1,0.99,0,0.44,0.19,0.19,0.18,0.44,0.29,0.28,42.15,302.58,313.58,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cccc(Cl)c2Cl)cc1)C(=O)[O-],4.63,3.35,2,2.85,448.38,0.12,0.98,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2c(Cl)c(Cl)ccc2)cc1)(=O)=O,5,12,12,2,28,18,5,2,5,2,27,9,5,0,12,2,2,9,1,1.62,low,-,0.58,0.82,NULL,NEGATIVE,NEGATIVE,71.05,188.94,194.78,117.15,0.56,4.72,4.9,,641.27,628.62,0.13,416.01,-1,384.63,344.73,320.36,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),best,medium (3.7-20),poor,low (< 5.6),poor,low (< 12),fair,low (< 17.8),good,4.4,0.5,no flag,fair,inactive (<= 5),good,weak (<= 5),best,1.47,fair,neg,good,med2high,good,0.23,fair,1.25,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),good,2.32,good,high (>= 2),poor,2.13,poor,2.33,fair,high  (>= 80),best,high  (>= 80),good,low (<= 50),good,low (<= 50),good,neg,good,high (>= 150 ug/ml),good,
229,A05B29,A05,B29,4.4,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(/C=C/C(=O)O)c2)C(=O)O,6,35,95,,16.26,3,3.75,4.48,,0.66,,,,2,0.99,0,0.4,0.17,0.23,0.25,0.4,0.37,0.35,59.74,308.58,310.52,0,Acidic,-2,2,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cccc(/C=C/C(=O)[O-])c2)cc1)C(=O)[O-],2.83,3.53,2.83,2.69,449.54,0.13,0.93,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2cc(\C=C\C(O)=O)ccc2)cc1)(=O)=O,7,12,12,2,31,21,5,3,7,3,30,9,7,0,12,2,2,11,1,1.66,low,-,0.11,0.74,,,,103.12,251.28,294.56,154.44,0.35,5.42,5.49,,676.57,679.55,0.09,441.19,-2,413.64,368.32,326.87,low (<= 5/50%),best,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),fair,low (< 5.6),poor,low (< 12),best,low (< 17.8),best,4.27,0.4,no flag,good,inactive (<= 5),good,weak (<= 5),best,-0.26,good,neg,good,low,good,0.19,poor,1.08,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.02,fair,medium (1-2),poor,1.86,fair,2.07,poor,high  (>= 80),good,high  (>= 80),good,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),best,
230,A05B30,A05,B30,6.1,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(/C=C/N(=O)=O)cc2)C(=O)O,6,10,98,,15.38,2.88,3.87,,,0.8,,,,1,1,0,0.4,0.17,0.27,0.27,0.4,0.39,0.37,69.65,296.42,300.4,0,Acidic,-1,2,1,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2ccc(/C=C/[N+](=O)[O-])cc2)cc1)C(=O)[O-],3.29,3.85,2.93,3.35,450.53,0.07,0.97,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2ccc(\C=C\[N+]([O-])=O)cc2)cc1)(=O)=O,8,12,12,2,31,20,5,2,7,2,30,10,8,0,12,2,2,11,1,1.67,low,charges out of test range,formal charge,-0.15,0.67,,,,112.26,261.92,292.91,162.96,0.3,5.67,5.78,,668.44,679.35,0.06,443.74,-1,412.66,366.07,330.3,low (<= 5/50%),best,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),good,low (< 3.7),fair,low (< 5.6),poor,low (< 12),best,low (< 17.8),best,4.22,0.37,no flag,poor,inactive (<= 5),good,weak (<= 5),best,0.62,fair,neg,good,low,poor,0.22,fair,1.11,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.13,fair,medium (1-2),poor,1.99,good,2.12,poor,high  (>= 80),good,high  (>= 80),fair,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),good
231,A05B31,A05,B31,Assay Failed,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(C)c(OC)c(C)c2)C(=O)O,6,21,94,,13.76,3.86,3.87,,,0.71,,,,1,0.99,0,0.41,0.28,0.21,0.19,0.41,0.29,0.28,47.43,319.73,332.09,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cc(C)c(OC)c(C)c2)cc1)C(=O)[O-],4.52,3.52,2.12,3.02,437.57,0.11,0.95,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2cc(C)c(OC)c(C)c2)cc1)(=O)=O,6,12,12,2,30,21,8,2,6,2,29,8,6,0,12,2,2,10,1,1.66,low,-,0.56,0.76,NULL,NEGATIVE,NEGATIVE,78.55,194.97,207.11,126.38,0.54,5.08,5.09,,673.64,660.22,0.1,452.8,-1,410.64,367.15,349.51,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),fair,medium (5.6-30.5),poor,low (< 12),fair,low (< 17.8),good,4.31,0.42,no flag,fair,inactive (<= 5),good,weak (<= 5),best,1.24,fair,neg,good,med2high,fair,0.27,fair,1.19,poor,low (<= 3),poor,no (<= 2),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.18,fair,high (>= 2),poor,2.08,good,2.19,fair,high  (>= 80),good,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),good,
232,A05B32,A05,B32,Inactive,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3cccnc23)C(=O)O,6,48,97,,14.27,3.09,3.87,,,0.66,4.64,,,1,0.99,0,0.55,0.17,0.21,0.2,0.55,0.31,0.31,49.73,306.47,311.55,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cccc3cccnc23)cc1)C(=O)[O-],3.49,3.95,2.76,3.45,430.54,0.13,0.97,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2c(c3ccc2)nccc3)cc1)(=O)=O,6,16,17,3,31,21,5,2,6,2,29,8,6,0,16,2,3,9,1,1.61,low,-,0.5,0.88,NULL,NEGATIVE,NEGATIVE,79.8,203.16,201.73,130.04,0.5,4.84,4.83,,650.43,635.99,0.15,418.11,-1,391.35,356.2,317.27,low (<= 5/50%),good,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),good,low (< 17.8),fair,4.26,0.41,no flag,fair,inactive (<= 5),good,weak (<= 5),best,0.73,good,neg,fair,med2high,poor,0.29,poor,1.16,poor,high (> 3),poor,medium (4-10),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),fair,2.17,fair,high (>= 2),poor,2.11,good,2.26,good,high  (>= 80),good,high  (>= 80),fair,low (<= 50),good,low (<= 50),best,pos,poor,high (>= 150 ug/ml),good,
233,A05B33,A05,B33,Not Made,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(CO)c2)C(=O)O,6,13,65,,15,2.3,3.87,,,0.66,,,,1,0.99,0,0.44,0.22,0.22,0.23,0.44,0.35,0.34,51.77,285.06,289.93,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cccc(CO)c2)cc1)C(=O)[O-],2.42,3.81,3,2.98,409.52,0.13,0.96,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2cc(CO)ccc2)cc1)(=O)=O,6,12,12,2,28,19,6,3,6,3,27,8,6,0,12,2,2,10,1,1.61,low,-,0.39,0.82,NULL,NEGATIVE,NEGATIVE,87.82,224.44,247.31,137.38,0.51,4.82,4.82,,632.88,626.51,0.13,405.77,-1,377.75,336.83,302.18,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),fair,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),fair,low (< 5.6),poor,low (< 12),best,low (< 17.8),best,4.23,0.39,no flag,fair,inactive (<= 5),good,weak (<= 5),fair,0,fair,neg,fair,low,poor,0.19,fair,1.15,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,medium (1-2),poor,1.94,poor,medium (1-2),poor,1.74,poor,2,fair,high  (>= 80),good,high  (>= 80),good,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),best,
234,A05B34,A05,B34,Inactive,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(ccc2OC)C(C)C)C(=O)O,6,40,97,,14.46,4.08,3.87,,,0.65,,,,1,0.99,0,0.4,0.3,0.2,0.18,0.4,0.28,0.27,47.37,333.77,347.08,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cc(C(C)C)ccc2OC)cc1)C(=O)[O-],4.88,3.31,2,2.81,451.6,0.14,0.97,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2c(OC)ccc(C(C)C)c2)cc1)(=O)=O,6,12,12,2,31,22,9,2,6,2,30,8,6,0,12,2,2,11,1,1.67,low,-,0.58,0.9,,,,78.11,194.97,196.41,126.38,0.5,4.99,4.98,,694.01,683.32,0.16,467.89,-1,425.18,381.14,355.34,low (<= 5/50%),best,low (<= 5/50%),good,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),poor,low (< 17.8),fair,4.32,0.44,no flag,good,inactive (<= 5),good,weak (<= 5),best,1.54,fair,neg,good,med2high,fair,0.32,poor,1.19,poor,low (<= 3),poor,no (<= 2),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.26,good,high (>= 2),poor,2.17,poor,2.25,poor,high  (>= 80),best,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),fair,
235,A05B35,A05,B35,4.8,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc3c4ccccc4sc23)C(=O)O,6,27,95,,13.79,4.96,3.87,,,0.67,,,,1,0.99,0,0.59,0.16,0.16,0.16,0.59,0.33,0.32,42.15,357.73,361.48,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cccc3c2sc2ccccc23)cc1)C(=O)[O-],5.51,2.52,1.54,2.12,485.64,0.13,0.97,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2c3c(c(c4s3)cccc4)ccc2)cc1)(=O)=O,5,19,21,4,35,24,5,2,5,2,32,8,5,0,19,2,4,9,1,1.65,borderline,-,0.63,0.83,NULL,NEGATIVE,NEGATIVE,70.98,231.75,232.88,145.38,0.32,5.3,5.27,,704.22,691.29,0.13,456.27,-1,432.46,399.88,356.03,low (<= 5/50%),good,low (<= 5/50%),fair,medium (5-6/50-90%),poor,low (<= 5/50%),good,low (<= 5/50%),good,medium (3.7-20),poor,high (> 30.5),poor,low (< 12),fair,low (< 17.8),poor,4.48,0.51,no flag,poor,inactive (<= 5),fair,weak (<= 5),good,2.21,fair,neg,good,med2high,fair,0.44,poor,1.19,poor,low (<= 3),poor,medium (4-10),poor,high (>3),fair,high (> 10),poor,neg,best,high (>= 2),best,2.47,poor,high (>= 2),fair,2.34,fair,2.44,good,high  (>= 80),poor,high  (>= 80),fair,low (<= 50),fair,low (<= 50),good,pos,poor,medium (5 - 150 ug/ml),poor,
236,A05B36,A05,B36,Inactive,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(OC)c(OC)c2OC)C(=O)O,6,47,92,,16.7,2.85,3.87,,,0.68,,,,1,0.99,0,0.39,0.26,0.26,0.22,0.39,0.29,0.3,58.23,326.57,338.38,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2ccc(OC)c(OC)c2OC)cc1)C(=O)[O-],2.85,3.72,2.96,3.22,469.57,0.12,0.96,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2c(OC)c(OC)c(OC)cc2)cc1)(=O)=O,8,12,12,2,32,21,8,2,8,2,31,10,8,0,12,2,2,12,1,1.7,low,-,0.43,0.81,,,,95.3,207.03,229.95,144.84,0.45,5.07,5.13,,707.02,686.92,0.12,480.68,-1,433.68,384.8,364.6,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),fair,low (<= 5/50%),best,low (<= 5/50%),good,medium (3.7-20),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),good,4.32,0.43,no flag,fair,inactive (<= 5),good,weak (<= 5),best,0.3,fair,neg,good,low,poor,0.27,poor,1.22,poor,low (<= 3),poor,medium (4-10),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.13,poor,medium (1-2),poor,2.02,fair,2.13,fair,high  (>= 80),good,high  (>= 80),good,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),best,
237,A05B37,A05,B37,Inactive,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(Cl)ccc2OC)C(=O)O,6,41,93,,13.97,3.55,3.87,,,0.62,,,,1,0.99,0,0.43,0.21,0.21,0.2,0.43,0.3,0.29,47.37,305.79,317.74,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OC)cc1)C(=O)[O-],4.07,3.63,2.38,3.13,443.96,0.15,0.94,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2c(OC)ccc(Cl)c2)cc1)(=O)=O,6,12,12,2,29,19,6,2,6,2,28,9,6,0,12,2,2,10,1,1.64,low,-,0.54,0.83,NULL,NEGATIVE,NEGATIVE,78.18,194.97,201.54,126.38,0.54,4.76,4.92,,656.05,648.2,0.14,430.7,-1,395.92,353.16,328.93,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),fair,low (< 5.6),poor,low (< 12),good,low (< 17.8),good,4.27,0.38,no flag,good,inactive (<= 5),good,weak (<= 5),best,1.03,fair,neg,good,med2high,fair,0.22,fair,1.17,poor,low (<= 3),poor,no (<= 2),poor,high (>3),poor,medium (4-10),poor,neg,best,high (>= 2),poor,2.26,poor,high (>= 2),poor,2.12,good,2.31,good,high  (>= 80),best,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),best,
238,A05B38,A05,B38,4.8,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(C#N)c2)C(=O)O,6,24,90,,13.71,2.78,3.87,,,0.65,,,,1,0.99,0,0.44,0.19,0.22,0.24,0.44,0.37,0.35,54.13,282.74,286.4,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cccc(C#N)c2)cc1)C(=O)[O-],2.89,4.18,3,3.68,404.5,0.14,0.94,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2cc(C#N)ccc2)cc1)(=O)=O,6,12,12,2,28,19,5,2,6,2,27,8,6,0,12,2,2,9,1,1.62,low,-,0.44,0.79,NULL,NEGATIVE,NEGATIVE,91.81,229.37,253.21,140.93,0.62,4.83,4.81,,621.56,623.71,0.11,403.66,-1,378.21,336.88,294.29,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),fair,low (<= 5/50%),best,low (<= 5/50%),good,low (< 3.7),poor,medium (5.6-30.5),poor,low (< 12),best,low (< 17.8),best,4.23,0.41,no flag,fair,inactive (<= 5),good,weak (<= 5),best,0.29,fair,neg,fair,med2high,poor,0.19,fair,1.27,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,low (2-4),poor,neg,best,high (>= 2),poor,2.09,good,medium (1-2),poor,1.89,fair,2.14,poor,high  (>= 80),best,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),best,
239,A05B39,A05,B39,4.1,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2C(=O)C)C(=O)O,6,43,92,,14.58,2.64,3.87,,,0.67,,,,1,0.99,0,0.43,0.21,0.21,0.21,0.43,0.34,0.32,49.43,298.37,303.11,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2ccccc2C(C)=O)cc1)C(=O)[O-],3.02,4.06,3,3.56,421.53,0.13,0.91,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2c(C(=O)C)cccc2)cc1)(=O)=O,6,12,12,2,29,20,6,2,6,2,28,8,6,0,12,2,2,10,1,1.61,low,-,0.47,0.49,NULL,NEGATIVE,NEGATIVE,82.04,215.78,219.23,134.21,0.45,4.67,4.65,,643.33,618.72,0.06,420.62,-1,385.15,347.8,323.1,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),good,low (< 3.7),poor,high (> 30.5),poor,low (< 12),good,low (< 17.8),best,4.25,0.41,no flag,poor,inactive (<= 5),good,weak (<= 5),fair,0.42,fair,neg,fair,med2high,poor,0.21,fair,1.24,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.09,best,medium (1-2),poor,1.93,fair,2.11,poor,high  (>= 80),poor,high  (>= 80),poor,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),best,
240,A05B40,A05,B40,Not Made,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(CN)cc2)C(=O)O,6,25,68,,14.81,-0.47,3.87,,,0.71,9.82,,,2,0.99,0,0.44,0.22,0.22,0.24,0.44,0.38,0.35,55.72,284.08,288.53,0,Zwitter,0,1,1,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2ccc(C[NH3+])cc2)cc1)C(=O)[O-],-0.78,2.91,2,2.08,408.53,0.11,0.94,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2ccc(CN)cc2)cc1)(=O)=O,6,12,12,2,28,19,6,4,6,3,27,8,6,0,12,2,2,10,1,1.62,low,-,-0.08,0.65,NULL,NEGATIVE,NEGATIVE,92.82,241.47,245.03,143.16,0.45,4.94,4.92,,638,621.81,0.08,410.68,0,381.34,339.8,312.47,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),good,low (< 5.6),fair,low (< 12),best,low (< 17.8),best,4.24,0.38,no flag,good,inactive (<= 5),good,weak (<= 5),good,0.19,fair,neg,fair,low,fair,0.22,fair,1.21,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,good,medium (1-2),poor,1.4,fair,medium (1-2),poor,1.3,good,1.51,poor,high  (>= 80),best,high  (>= 80),fair,low (<= 50),good,low (<= 50),best,neg,good,high (>= 150 ug/ml),good,
241,A05B41,A05,B41,6.6,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)C(=O)OC)C(=O)O,6,11,95,,15.51,2.76,3.87,,,0.77,,,,1,1,0,0.41,0.21,0.24,0.23,0.41,0.34,0.33,55.84,302.42,308.79,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2ccc(C(=O)OC)cc2)cc1)C(=O)[O-],3.18,3.95,3,3.45,437.53,0.09,0.96,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2ccc(C(OC)=O)cc2)cc1)(=O)=O,7,12,12,2,30,20,6,2,7,2,29,9,7,0,12,2,2,11,1,1.65,low,-,0.45,0.69,NULL,NEGATIVE,NEGATIVE,93.42,221.81,241.83,143.44,0.41,5.34,5.38,,660.02,654.36,0.07,434.61,-1,402.21,358.26,329.62,low (<= 5/50%),best,low (<= 5/50%),good,low (<= 5/50%),fair,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),good,medium (5.6-30.5),poor,low (< 12),good,low (< 17.8),good,4.21,0.36,no flag,fair,inactive (<= 5),good,weak (<= 5),best,0.49,fair,neg,good,low,poor,0.19,fair,1.16,fair,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,no (<= 2),poor,neg,best,high (>= 2),poor,2.04,fair,medium (1-2),poor,1.91,good,2.12,poor,high  (>= 80),poor,low (< 40),poor,low (<= 50),best,low (<= 50),best,neg,good,high (>= 150 ug/ml),best,
242,A05B42,A05,B42,5.1,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cccc(OCc3ccccc3)c2)C(=O)O,6,36,95,,16.09,4.47,3.87,,,0.64,,,,1,0.99,0,0.55,0.18,0.18,0.17,0.55,0.26,0.26,47.52,361.62,373.7,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cccc(OCc3ccccc3)c2)cc1)C(=O)[O-],5.13,2.87,1.81,2.37,485.62,0.14,0.92,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2cc(OCc3ccccc3)ccc2)cc1)(=O)=O,6,18,18,3,35,25,6,2,6,2,33,8,6,0,18,3,3,12,1,1.7,low,-,0.59,0.79,,,,79.22,194.97,207.46,126.38,0.36,5.86,5.86,,738.55,740.26,0.09,478.82,-1,452.91,409.14,369.06,low (<= 5/50%),best,low (<= 5/50%),good,medium (5-6/50-90%),poor,low (<= 5/50%),best,low (<= 5/50%),good,medium (3.7-20),poor,high (> 30.5),poor,low (< 12),poor,low (< 17.8),fair,4.36,0.49,no flag,poor,inactive (<= 5),fair,weak (<= 5),best,1.91,fair,neg,best,med2high,fair,0.35,poor,1.12,poor,low (<= 3),poor,no (<= 2),poor,high (>3),poor,no (<= 2),poor,neg,best,high (>= 2),best,2.36,fair,high (>= 2),best,2.59,good,2.41,good,high  (>= 80),poor,high  (>= 80),good,low (<= 50),good,low (<= 50),best,neg,good,medium (5 - 150 ug/ml),poor,
243,A05B43,A05,B43,Assay Failed,CCSCC[C@H](NS(=O)(=O)c1ccc(cc1)c2cc(F)c(F)c(F)c2)C(=O)O,6,19,96,,12.94,3.52,3.87,,,0.7,,,,1,0.99,0,0.43,0.18,0.18,0.19,0.43,0.3,0.29,42.15,291.22,304.21,0,Acidic,-1,1,0,CCSCC[C@H](NS(=O)(=O)c1ccc(-c2cc(F)c(F)c(F)c2)cc1)C(=O)[O-],3.94,3.81,2.4,3.31,433.47,0.11,0.96,CCSCC[C@@H](C(O)=O)NS(c1ccc(c2cc(F)c(F)c(F)c2)cc1)(=O)=O,5,12,12,2,29,18,5,2,5,2,28,10,5,0,12,2,2,9,1,1.61,low,-,0.55,0.75,NULL,NEGATIVE,NEGATIVE,71.05,188.94,192.54,117.15,0.46,4.93,5.05,,625.76,619.21,0.1,407.44,-1,375.26,333.36,309.04,low (<= 5/50%),best,low (<= 5/50%),fair,low (<= 5/50%),poor,low (<= 5/50%),best,low (<= 5/50%),best,low (< 3.7),fair,low (< 5.6),poor,low (< 12),fair,low (< 17.8),good,4.32,0.44,no flag,poor,inactive (<= 5),good,weak (<= 5),best,1.06,fair,neg,fair,med2high,good,0.21,fair,1.26,poor,low (<= 3),poor,no (<= 2),poor,low (<= 3),poor,low (2-4),poor,neg,best,high (>= 2),poor,2.15,fair,high (>= 2),poor,2.03,fair,2.17,fair,high  (>= 80),good,high  (>= 80),fair,low (<= 50),good,low (<= 50),good,neg,good,high (>= 150 ug/ml),good,
